UserID,cenario,media.dfs,dimensao1.dfs,dimensao2.dfs,dimensao3.dfs,dimensao4.dfs,dimensao5.dfs,dimensao6.dfs,dimensao7.dfs,dimensao8.dfs,dimensao9.dfs,media.fss,dimensao1.fss,dimensao2.fss,dimensao3.fss,dimensao4.fss,dimensao5.fss,dimensao6.fss,dimensao7.fss,dimensao8.fss,dimensao9.fss
ac496445,gamificado,1.905555556,2.25,1.75,1.5,2.75,1.5,2.4,1.75,1.5,1.75,3.083333333,3,2.25,4.75,2.5,3.75,3,2.25,3,3.25
b4f7c8dd,não gamificado,3.466666667,3.25,3.25,4,3.75,3.5,3.2,2.75,4,3.5,2.583333333,2.25,3.75,4,3.75,1,1.5,2.5,1.75,2.75
b7c1ac58,não gamificado,3.938888889,3.5,4.75,4.5,3.25,2.75,4.2,3.25,5,4.25,2.666666667,1.25,4.5,2.5,1.75,4,1.75,2,2,4.25
bd9f45bd,não gamificado,2.8,3,3,3.25,2.75,3,2.2,2.5,3.25,2.25,3.027777778,2,3.5,3.25,3,3.5,2.75,3,2.75,3.5
be4d70e5,não gamificado,3.094444444,3.75,2.5,3.25,4.75,3,1.6,4,3.25,1.75,2.694444444,3.25,2.25,4.25,2.25,1.75,3,2.5,2,3
c0ec43e5,gamificado,3.155555556,3.25,3.5,3,2.75,3.25,3.4,3.5,3,2.75,3.027777778,4,3.5,2.75,1.5,3.5,4,3.5,2,2.5
c984ce85,não gamificado,4.428571429,3.25,4,4,3.25,2.75,3.5,3.5,3.25,3.5,1.888888889,1.25,1.5,3.5,1.75,2.5,1,2,1,2.5
cba08983,não gamificado,2.361111111,2.25,1.5,4.5,2.75,2,2,2.25,2.5,1.5,2.194444444,1.75,1.75,2.75,3,2.25,2.75,1.75,2,1.75
cc15d10e,não gamificado,3.983333333,4.25,4.25,4.75,4.5,4,2.6,3.75,4.25,3.5,3.888888889,2.75,4.25,4.5,4,4,4.5,4.75,2.5,3.75
d13a621d,não gamificado,2.6,2.5,2.25,2.25,2.75,2.25,3.4,3.5,2,2.5,2.555555556,1.25,1.5,2,3.75,2.75,3.25,2.25,3.25,3
d4ab7d96,gamificado,4.1,3.75,4.25,4.5,4,4,4.4,4.75,3.5,3.75,4.388888889,4.75,4.5,4.5,4.25,4,4.25,5,4.25,4
dc9e6a2e,gamificado,2.205555556,2,2,3.25,2.75,3,1.6,1.75,2,1.5,3.944444444,4.5,3.25,4,3.75,4.75,3.25,4,3.75,4.25
ddc3f0f6,não gamificado,3.066666667,2.75,3.75,2,2.5,2.5,3.6,3.5,3.5,3.5,2.222222222,2,3,3.75,1.25,1.25,2,2.75,1,3
ecd05cb6,não gamificado,3.077777778,2.5,2,3.5,3.5,2.5,3.2,3.75,3.25,3.5,2.083333333,2.25,1.75,2.75,2,3.75,1.25,1.5,1.25,2.25
eef41bb0,gamificado,3.15,2.25,3.75,4,3.75,3,2.6,2.5,3.75,2.75,3.138888889,3.75,3.75,2,2.5,2.5,3.25,3.5,3.5,3.5
f0edcc26,não gamificado,1.911111111,2,1.5,1.5,2,2.25,2.2,2.25,1.5,2,2.027777778,1.25,1.25,2.25,2.5,2.75,1.75,2.25,1.5,2.75
f1ffefa5,gamificado,2.633333333,2.25,1.75,2.75,2,3.75,3.2,1.5,4.25,2.25,3,3.5,2.25,2.25,3.75,3.25,4,3.5,2,2.5
f46ef02e,não gamificado,2.688888889,3.5,2.5,2.25,2,3,3.2,2,3.25,2.5,2.5,1,3.25,2,1.5,2.5,3.5,1.75,3.75,3.25
